X,Y,OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Recovered,Deaths,Active,Admin2,FIPS,Combined_Key
13.3984382300001,42.35122196,290,Abruzzo,Italy,2020/12/12 01:27:11+00,42.35122196,13.39843823,31463,14947,1017,15499,,,"Abruzzo, Italy"
15.8051483400001,40.63947052,291,Basilicata,Italy,2020/12/12 01:27:11+00,40.63947052,15.80514834,9290,2864,195,6231,,,"Basilicata, Italy"
16.5944019400001,38.9059759800001,292,Calabria,Italy,2020/12/12 01:27:11+00,38.90597598,16.59440194,19333,9538,379,9416,,,"Calabria, Italy"
14.2508498400001,40.83956555,293,Campania,Italy,2020/12/12 01:27:11+00,40.83956555,14.25084984,171332,74624,2228,94480,,,"Campania, Italy"
11.3417208,44.49436681,294,Emilia-Romagna,Italy,2020/12/12 01:27:11+00,44.49436681,11.3417208,141010,70508,6447,64055,,,"Emilia-Romagna, Italy"
13.7681364900001,45.6494354,295,Friuli Venezia Giulia,Italy,2020/12/12 01:27:11+00,45.6494354,13.76813649,38632,23210,1187,14235,,,"Friuli Venezia Giulia, Italy"
12.48366722,41.89277044,296,Lazio,Italy,2020/12/12 01:27:11+00,41.89277044,12.48366722,137143,46080,2870,88193,,,"Lazio, Italy"
8.9326992,44.4114931500001,297,Liguria,Italy,2020/12/12 01:27:11+00,44.41149315,8.9326992,55024,43632,2627,8765,,,"Liguria, Italy"
9.19034740400002,45.4667940900001,298,Lombardia,Italy,2020/12/12 01:27:11+00,45.46679409,9.190347404,438591,327561,23581,87449,,,"Lombardia, Italy"
13.5188753,43.6167597300001,299,Marche,Italy,2020/12/12 01:27:11+00,43.61675973,13.5188753,33866,19374,1379,13113,,,"Marche, Italy"
14.65916051,41.55774754,300,Molise,Italy,2020/12/12 01:27:11+00,41.55774754,14.65916051,5490,2720,152,2618,,,"Molise, Italy"
11.3566242200001,46.4993345300001,301,P.A. Bolzano,Italy,2020/12/12 01:27:11+00,46.49933453,11.35662422,26283,15003,629,10651,,,"P.A. Bolzano, Italy"
11.1212309700001,46.06893511,302,P.A. Trento,Italy,2020/12/12 01:27:11+00,46.06893511,11.12123097,17976,14783,754,2439,,,"P.A. Trento, Italy"
7.68068748300004,45.0732745,303,Piemonte,Italy,2020/12/12 01:27:11+00,45.0732745,7.680687483,183084,116100,6993,59991,,,"Piemonte, Italy"
